shop_id,demand_1km,demand_2km,demand_3km
bd_al_ain,1,1,20
bd_al_barsha,132,650,1013
bd_al_dhafra,6,7,21
bd_al_falah,3,18,35
bd_al_jada,8,23,114
bd_al_maqta,56,102,138
bd_al_taif_mall,79,244,331
bd_baniyas,41,64,112
bd_city_walk,98,646,1014
bd_delma,351,1116,2514
bd_jumeirah_park,35,105,153
bd_khaleej_al_arabi,54,635,1883
bd_khalifa_city_a,21,83,133
bd_ministries_complex,42,126,287
bd_mirdif_35,32,102,162
bd_mohammed_bin_zayed_city,20,57,423
bd_nad_al_sheba,6,28,123
bd_noya_plaza,0,71,332
bd_ras_al_khaimah,15,32,50
bd_shahama,62,73,116
bd_shakhbout_city,3,21,23
bd_west_yas,10,22,342
bd_zawaya_walk,81,238,588
bd_zayed_international_airport,9,9,62
tt_al_barsha,21,389,862
tt_al_dhannah_mall,13,16,35
tt_al_falah_1,3,12,30
tt_al_falah_5,3,12,30
tt_al_furjan_pavilion,53,105,148
tt_al_furjan_west,53,105,148
tt_al_hamra_mall,24,42,51
tt_al_shamkhah_villa,3,10,30
tt_arabian_ranches,14,20,47
tt_arjan,46,144,248
tt_business_bay,143,452,827
tt_city_centre_mirdif,30,94,284
tt_creek_beach,0,113,338
tt_dubai_festival_city,100,180,331
tt_dubai_marina_mall,415,654,711
tt_dubai_silicon_central,143,193,244
tt_golden_mile_2,44,76,113
tt_hili_mall,6,81,166
tt_jimi_district,14,86,183
tt_khaleej_al_arabi,19,169,638
tt_khalifa_city,11,55,88
tt_makani,6,22,45
tt_marina_mall_auh,42,139,553
tt_marina_vista,7,287,719
tt_me_aisem_city_centre,26,65,152
tt_meadows_mall,19,262,705
tt_mira_town_centre,1,5,5
tt_mohammed_bin_zayed_city,1,204,611
tt_nation_towers,59,267,729
tt_park_point,1,34,139
tt_port_de_la_mer,8,167,844
tt_reem_mall,30,383,1811
tt_saadiyat_island,10,12,46
tt_shamkha_mall,19,23,26
tt_the_dubai_mall,200,499,744
tt_the_greens_souk,126,260,506
tt_the_springs_souk,14,40,189
tt_the_valley,0,0,0
tt_the_villa,1,5,5
tt_yas_mall,328,335,366
jz_palm_jumeirah,44,76,113
jz_port_de_la_mer,8,167,844
jz_al_barsha,39,445,814
jz_mirdif,30,137,192
jz_yas_mall,328,335,366
jz_nation_towers,59,267,729
jz_al_falah,3,12,30
jz_al_reem_mall,30,383,1811
jz_hili,6,81,166
jz_al_bateen,19,169,638
