shop_id,brand,branch_name,address,emirate,lat,lon,geo_confidence,segment,format
bd_al_ain,Bedashing,Al Ain,"Villa 14, Hamdan Bin Mohammad St., Al Markaniyah, Al Ain",Abu Dhabi,24.24289,55.70805,medium,women,salon
bd_al_barsha,Bedashing,Al Barsha,"Shop 1,2-3 Umm Suqeim St, Al Barsha 2",Dubai,25.10238,55.21607,medium,women,salon
bd_al_dhafra,Bedashing,Al Dhafra,"Al Dhafra Walk, Liwa-Tarif Rd, Zayed City",Abu Dhabi,23.65204,53.70466,low,women,salon
bd_al_falah,Bedashing,Al Falah,"Al Falah Village 4, 1D Branch",Abu Dhabi,24.43711,54.71182,medium,women,salon
bd_al_jada,Bedashing,Al Jada,"Shop M-18, Misk 2, Muwaileh Trading",Sharjah,25.31403,55.4762,high,women,salon
bd_al_maqta,Bedashing,Al Maqta,"Opposite Fairmont Bab Al Bahr, Villa 31, Al Khor St",Abu Dhabi,24.40197,54.49519,medium,women,salon
bd_al_taif_mall,Bedashing,Al Taif Mall,"G/F 13, Al Taif Mall",Fujairah,25.41474,56.23137,low,women,salon
bd_baniyas,Bedashing,Baniyas,"Villa D, Baniyas East 8, opposite Lulu Hypermarket",Abu Dhabi,24.30648,54.63486,medium,women,salon
bd_city_walk,Bedashing,City Walk,"18A-06 Al Raha Street, City Walk",Dubai,25.20816,55.26187,high,women,salon
bd_delma,Bedashing,Delma,"Shop 1 & 2 Kim Tower, Delma St, Al Nahyan",Abu Dhabi,24.46446,54.38684,medium,women,salon
bd_jumeirah_park,Bedashing,Jumeirah Park,"Shop 17 & 18, Jumeirah Park Club House",Dubai,25.04694,55.15482,high,women,salon
bd_khaleej_al_arabi,Bedashing,Khaleej Al Arabi,"Opposite Al Bateen Gardens, Khaleej Al Arabi St",Abu Dhabi,24.45138,54.33797,medium,women,salon
bd_khalifa_city_a,Bedashing,Khalifa City A,"Villa 1, Casablanca Residence, Khalifa City A",Abu Dhabi,24.42013,54.57495,medium,women,salon
bd_ministries_complex,Bedashing,Ministries Complex,"Shop 3, ICT Building, Khalifa Park",Abu Dhabi,24.43121,54.45727,medium,women,salon
bd_mirdif_35,Bedashing,Mirdif 35,"Khansaheb Mirdif 35, Level 2, Unit L2-10",Dubai,25.22184,55.42315,medium,women,salon
bd_mohammed_bin_zayed_city,Bedashing,Mohammed Bin Zayed City,"Villa 5, 69 Al Raqi St",Abu Dhabi,24.33396,54.55356,medium,women,salon
bd_nad_al_sheba,Bedashing,Nad Al Sheba,"Nad Al Sheba Mall, Shop L2-048",Dubai,25.1597,55.37014,high,women,salon
bd_noya_plaza,Bedashing,Noya Plaza,"Noya Plaza, East Yas, G22, Yas Island",Abu Dhabi,24.4864,54.60907,medium,women,salon
bd_ras_al_khaimah,Bedashing,Ras Al Khaimah,"Villa 3, Sheikh Rashid Bin Saeed Al Maktoum Rd, Al Dhaith",Ras Al Khaimah,25.72445,55.92693,medium,women,salon
bd_shahama,Bedashing,Shahama,Al Shahama Rd,Abu Dhabi,24.55224,54.68099,medium,women,salon
bd_shakhbout_city,Bedashing,Shakhbout City,Shakhbout City 3,Abu Dhabi,24.3595,54.63233,medium,women,salon
bd_west_yas,Bedashing,West Yas,"Westyas Plaza, Yas Island",Abu Dhabi,24.49428,54.58313,high,women,salon
