shop_id,brand,branch_name,address,emirate,lat,lon,geo_confidence,segment,format,geocode_shift_km,comp_1km,comp_2km,comp_3km,catchment_km2,catchment_source,cannibalisation,cross_segment_overlap,worst_overlap_with,worst_overlap_brand,worst_overlap_km,n_group_shops_2km
bd_al_ain,Bedashing,Al Ain,"Villa 14, Hamdan Bin Mohammad St., Al Markaniyah, Al Ain",Abu Dhabi,24.2266835,55.6599794,verified,women,salon,5.197,0,0,1,9.26,isochrone_6min,0.0,0.0,,,,0
bd_al_barsha,Bedashing,Al Barsha,"Shop 1,2-3 Umm Suqeim St, Al Barsha 2",Dubai,25.1131451,55.2156092,verified,women,salon,1.198,0,35,70,7.82,isochrone_6min,0.5713,0.4864,tt_al_barsha,Tips & Toes,1.2,1
bd_al_dhafra,Bedashing,Al Dhafra,"Al Dhafra Walk, Liwa-Tarif Rd, Zayed City",Abu Dhabi,23.6280524,53.7141144,verified,women,salon,2.836,0,0,1,10.54,isochrone_6min,0.0,0.0,,,,0
bd_al_falah,Bedashing,Al Falah,"Al Falah Village 4, 1D Branch",Abu Dhabi,24.4428939,54.7396974,verified,women,salon,2.894,0,0,1,8.41,isochrone_6min,0.1219,0.1604,tt_al_falah_1,Tips & Toes,2.89,0
bd_al_jada,Bedashing,Al Jada,"Shop M-18, Misk 2, Muwaileh Trading",Sharjah,25.3192096,55.4799114,verified,women,salon,0.686,0,0,2,0.91,isochrone_6min,0.0,0.0,,,,0
bd_al_maqta,Bedashing,Al Maqta,"Opposite Fairmont Bab Al Bahr, Villa 31, Al Khor St",Abu Dhabi,24.4130516,54.4929556,verified,women,salon,1.253,1,2,3,5.29,isochrone_6min,0.0,0.0,,,,0
bd_al_taif_mall,Bedashing,Al Taif Mall,"G/F 13, Al Taif Mall",Fujairah,25.1202606,56.3253503,verified,women,salon,34.081,2,8,8,11.5,isochrone_6min,0.0,0.0,,,,0
bd_baniyas,Bedashing,Baniyas,"Villa D, Baniyas East 8, opposite Lulu Hypermarket",Abu Dhabi,24.2973631,54.6332474,verified,women,salon,1.027,1,1,2,7.39,isochrone_6min,0.0,0.0,,,,0
bd_city_walk,Bedashing,City Walk,"18A-06 Al Raha Street, City Walk",Dubai,25.2019849,55.2638147,verified,women,salon,0.714,1,29,51,7.71,isochrone_6min,0.1615,0.0,tt_the_dubai_mall,Tips & Toes,1.62,2
bd_delma,Bedashing,Delma,"Shop 1 & 2 Kim Tower, Delma St, Al Nahyan",Abu Dhabi,24.467954,54.3847796,verified,women,salon,0.441,27,97,222,25.19,isochrone_6min,0.2469,0.2145,bd_khaleej_al_arabi,Bedashing,3.3,0
bd_jumeirah_park,Bedashing,Jumeirah Park,"Shop 17 & 18, Jumeirah Park Club House",Dubai,25.039154,55.1659736,verified,women,salon,1.418,4,8,12,3.72,isochrone_6min,0.0,0.0,,,,2
bd_khaleej_al_arabi,Bedashing,Khaleej Al Arabi,"Opposite Al Bateen Gardens, Khaleej Al Arabi St",Abu Dhabi,24.4588702,54.3537762,verified,women,salon,1.804,8,82,180,22.08,isochrone_6min,0.5149,0.3204,tt_khaleej_al_arabi,Tips & Toes,1.8,2
bd_khalifa_city_a,Bedashing,Khalifa City A,"Villa 1, Casablanca Residence, Khalifa City A",Abu Dhabi,24.4399805,54.5989056,verified,women,salon,3.279,3,10,12,14.66,isochrone_6min,0.0143,0.0,bd_zayed_international_airport,Bedashing,4.51,0
bd_ministries_complex,Bedashing,Ministries Complex,"Shop 3, ICT Building, Khalifa Park",Abu Dhabi,24.432147,54.4647516,verified,women,salon,0.765,2,4,22,3.31,isochrone_6min,0.0,0.0,,,,0
bd_mirdif_35,Bedashing,Mirdif 35,"Khansaheb Mirdif 35, Level 2, Unit L2-10",Dubai,25.2322986,55.4329599,verified,women,salon,1.525,1,6,8,3.35,isochrone_6min,0.1921,0.9799,tt_city_centre_mirdif,Tips & Toes,3.09,1
bd_mohammed_bin_zayed_city,Bedashing,Mohammed Bin Zayed City,"Villa 5, 69 Al Raqi St",Abu Dhabi,24.3667831,54.5403404,verified,women,salon,3.888,3,4,9,6.75,isochrone_6min,0.0,0.0,,,,0
bd_nad_al_sheba,Bedashing,Nad Al Sheba,"Nad Al Sheba Mall, Shop L2-048",Dubai,25.1595625,55.3696875,verified,women,salon,0.048,1,1,6,9.24,isochrone_6min,0.0,0.0,,,,0
bd_noya_plaza,Bedashing,Noya Plaza,"Noya Plaza, East Yas, G22, Yas Island",Abu Dhabi,24.4995625,54.6254375,verified,women,salon,2.21,0,2,2,1.91,isochrone_6min,0.0295,0.5905,tt_yas_mall,Tips & Toes,2.35,0
bd_ras_al_khaimah,Bedashing,Ras Al Khaimah,"Villa 3, Sheikh Rashid Bin Saeed Al Maktoum Rd, Al Dhaith",Ras Al Khaimah,25.751541,55.9198717,verified,women,salon,3.094,0,0,1,18.31,isochrone_6min,0.0,0.0,,,,0
bd_shahama,Bedashing,Shahama,Al Shahama Rd,Abu Dhabi,24.5243742,54.6718965,verified,women,salon,3.232,2,3,6,4.67,isochrone_6min,0.0,0.0,,,,0
bd_shakhbout_city,Bedashing,Shakhbout City,Shakhbout City 3,Abu Dhabi,24.3481854,54.6238561,verified,women,salon,1.523,0,2,2,20.21,isochrone_6min,0.0,0.0,,,,0
bd_west_yas,Bedashing,West Yas,"Westyas Plaza, Yas Island",Abu Dhabi,24.4934924,54.5868369,verified,women,salon,0.385,0,0,2,10.28,isochrone_6min,0.1077,0.2191,tt_yas_mall,Tips & Toes,2.27,0
