shop_id,brand,branch_name,emirate,address,lat,lon,geo_confidence,in_mall,rating,n_reviews,rating_confidence,demand_2km,comp_2km,cannibalisation,worst_overlap_with,worst_overlap_brand,worst_overlap_km,sig_health,sig_demand,sig_pressure,sig_attract,sig_cannib,c_health,c_attract,c_cannib,score,recommendation,stability,robust,duel,reason
bd_city_walk,Bedashing,City Walk,Dubai,"18A-06 Al Raha Street, City Walk",25.2019849,55.2638147,verified,True,4.6,855,confirmed,646,29,0.1615,tt_the_dubai_mall,Tips & Toes,1.62,84.6,94.2,88.5,94.2,16.2,33.84,32.97,-4.05,62.76,PROTECT,100.0,robust,,"Protect because health at percentile 85 (4.6 from 855 reviews); attractive market (demand p94, pressure p88). Customers mostly talk about services (98), manicure (39), technician (13)."
bd_ministries_complex,Bedashing,Ministries Complex,Abu Dhabi,"Shop 3, ICT Building, Khalifa Park",24.432147,54.4647516,verified,False,4.9,1214,confirmed,126,4,0.0,,,,98.1,57.7,51.0,63.5,0.0,39.24,22.22,-0.0,61.46,PROTECT,100.0,robust,,"Protect because health at percentile 98 (4.9 from 1214 reviews). Customers mostly talk about technician (61), treatment (15), blow dry (14)."
bd_al_maqta,Bedashing,Al Maqta,Abu Dhabi,"Opposite Fairmont Bab Al Bahr, Villa 31, Al Khor St",24.4130516,54.4929556,verified,False,4.6,1288,confirmed,102,2,0.0,,,,92.3,51.0,39.4,65.4,0.0,36.92,22.89,-0.0,59.81,PROTECT,100.0,robust,,"Protect because health at percentile 92 (4.6 from 1288 reviews). Customers mostly talk about technician (79), bid (41), hammam (22). Operational signals worth a look: front-desk experience, booking or welcome (9 mentions)."
bd_zawaya_walk,Bedashing,Zawaya Walk,Sharjah,"Shop 32 & 33, Zawaya Walk, University City Rd, Al Shahba",25.3306234,55.4294728,verified,True,4.7,601,confirmed,238,6,0.0,,,,67.3,73.1,60.6,86.5,0.0,26.92,30.27,-0.0,57.19,PROTECT,100.0,robust,,"Protect because attractive market (demand p73, pressure p61). Customers mostly talk about services (46), pedicure (22), products (12)."
tt_mohammed_bin_zayed_city,Tips & Toes,Mohammed Bin Zayed City,Abu Dhabi,"Villa 143, Mohamed Bin Zayed City Z6",24.33396,54.55356,medium,False,4.4,867,inferred,204,6,0.0,,,,63.5,71.2,60.6,78.8,0.0,25.4,27.58,-0.0,52.98,PROTECT,100.0,robust,,"Protect because attractive market (demand p71, pressure p61)."
bd_khaleej_al_arabi,Bedashing,Khaleej Al Arabi,Abu Dhabi,"Opposite Al Bateen Gardens, Khaleej Al Arabi St",24.4588702,54.3537762,verified,False,4.6,1737,confirmed,635,82,0.5149,tt_khaleej_al_arabi,Tips & Toes,1.8,96.2,92.3,98.1,76.9,51.5,38.48,26.91,-12.88,52.51,PROTECT,99.0,robust,beats Tips & Toes Khaleej Al Arabi,"Protect because it shares 52% of its catchment with Tips & Toes Khaleej Al Arabi 1.8 km away; health at percentile 96 (4.6 from 1737 reviews); attractive market (demand p92, pressure p98). Customers mostly talk about technician (86), receptionist (32), hair colour (19). Operational signals worth a look: front-desk experience, booking or welcome (32 mentions)."
bd_delma,Bedashing,Delma,Abu Dhabi,"Shop 1 & 2 Kim Tower, Delma St, Al Nahyan",24.467954,54.3847796,verified,False,4.6,671,confirmed,1116,97,0.2469,bd_khaleej_al_arabi,Bedashing,3.3,65.4,100.0,100.0,92.3,24.7,26.16,32.3,-6.17,52.29,PROTECT,99.8,robust,,"Protect because attractive market (demand p100, pressure p100). Customers mostly talk about services (75), manicure (30), technician (24). Operational signals worth a look: front-desk experience, booking or welcome (11 mentions)."
bd_al_taif_mall,Bedashing,Al Taif Mall,Fujairah,"G/F 13, Al Taif Mall",25.1202606,56.3253503,verified,True,4.7,495,confirmed,244,8,0.0,,,,55.8,75.0,68.3,82.7,0.0,22.32,28.95,-0.0,51.27,PROTECT,99.9,robust,,"Protect because attractive market (demand p75, pressure p68). Customers mostly talk about services (43), moroccan bath (27), workmanship (18)."
tt_dubai_festival_city,Tips & Toes,Dubai Festival City,Dubai,GF Dubai Festival City Mall,25.22187,55.35259,high,True,4.3,662,confirmed,180,1,0.0,,,,42.3,67.3,27.9,98.1,0.0,16.92,34.33,-0.0,51.25,PROTECT,96.8,robust,,"Protect because attractive market (demand p67, pressure p28)."
bd_khalifa_city_a,Bedashing,Khalifa City A,Abu Dhabi,"Villa 1, Casablanca Residence, Khalifa City A",24.4399805,54.5989056,verified,False,4.5,2453,confirmed,83,10,0.0143,bd_zayed_international_airport,Bedashing,4.51,100.0,46.2,71.2,32.7,1.4,40.0,11.45,-0.35,51.1,PROTECT,99.0,robust,,"Protect because health at percentile 100 (4.5 from 2453 reviews). Customers mostly talk about technician (137), receptionist (54), hair colour (41). Operational signals worth a look: front-desk experience, booking or welcome (54 mentions)."
